ITEM,NOMBRE COMEDOR,COORDENADAS,CUPOS,NICHO,NODO,COMUNA,COMUNA RUTA,DIA ENTREGA
26,EL MANA ALTO MENGA,3.489838, -76.533278,50,2,1,2,2,1
396,EL MANA CON AMOR,3.402439, -76.509029,150,8,3,15,15,5
234,EL MANA DE CHARCO AZUL,3.440074, -76.487355,50,5,4,13,13,3
301,EL MANA DE SIFRUAM,3.437462, -76.481296,100,7,1,14,14,4
426,EL MANA LAUREANO,3.414815, -76.493908,70,9,1,15,15,5
179,EL MANA MI BENDICION,3.415501, -76.497455,60,5,3,13,13,3
417,EL MANA MOJICA 1,3.413160, -76.487357,100,10,3,15,15,5
501,EL MANA POLVORINES,3.374346, -76.559100,120,4,11,18,18,6
660,EL MANA VALLE GRANDE,3.437057, -76.469030,70,15,5,21,21,7
228,EL MANA VILLA BLANCA,3.430104, -76.493964,70,5,4,13,13,3
16,EL MESON DE LA BUENA VOLUNTAD,3.457944, -76.583179,60,1,2,1,1,1
350,EL MILAGRO DE DIOS COMUNEROS,3.425752, -76.492435,100,5,3,15,15,5
659,EL MILAGRO DE DIOS LOS LIDERES,3.420038, -76.466455,60,15,1,21,21,7
8,EL NIÑO DESAMPARADO,3.455709, -76.561084,120,1,1,1,1,1
50,EL PAN DE CADA DIA,3.477081, -76.490379,70,2,3,5,5,1
664,EL PAN DE DIOS VALLE GRANDE,3.437786, -76.473462,120,15,5,21,21,7
700,EL PAN NUESTRO DE CADA DIA,3.428467, -76.462072,80,15,2,21,21,7
75,EL PASO,3.489159, -76.493689,80,2,5,6,6,1
443,EL PEROL POR LA PAZ,3.392992, -76.505671,120,8,3,15,15,5
803,EL PEROL VALLUNO,3.4238333,-76.4640556,70,15,1,21,21,7
258,EL PORVENIR,3.422728, -76.476268,80,7,3,14,14,4
503,EL PROGRESO,3.388059, -76.560077,80,6,11,18,18,6
480,EL REFUGIO,3.401021, -76.516400,80,9,5,16,16,3
62,EL REY,3.497263, -76.497124,100,2,5,6,6,1
196,EL RINCON DE DIOS,3.4298475,-76.4952301,80,5,4,13,13,3
505,EL RINCON DEL SABOR,3.386661, -76.557131,60,5,11,18,18,6
34,EL SAMARITANO,3.453816, -76.526132,100,3,2,3,3,1
282,EL SAZON DE AMIGAS DEL CORAZON,3.417814, -76.470330,100,6,3,14,14,4
737,EL SAZON DE LA CASA,3.408550, -76.574716,50,3,4,7,7,2
779,EL SAZON DE LETY,3.4890312,-76.4886047,70,2,3,6,6,1
407,EL SAZON DE TOMASA,3.391951, -76.507670,100,8,2,15,15,5
738,EL SHADDAY LA SIRENA,3.404443, -76.577948,100,3,6,7,7,2
195,EL SHADDAY ULPIANO,3.443230, -76.490153,80,5,6,13,13,3
473,EMANUEL,3.419155, -76.507262,100,9,3,16,16,3
272,EMANUEL 4,3.428353, -76.472206,50,6,1,14,14,4
289,EMMANUEL 1,3.4366389,-76.4783056,100,7,1,14,14,4
306,EMMANUEL 3,3.423219, -76.470705,80,6,5,14,14,4
307,EMPERADOR I,3.425987, -76.477847,120,7,4,14,14,4
